_index,lng,lat,lable
99,113.8679012,22.62117914,39
100,113.9174752,22.567693,36
101,114.0305449,22.65929539,74
102,114.2360115,22.55527082,67
103,113.9933435,22.54043301,30
104,113.9290138,22.52635867,111
105,113.9260058,22.50218813,71
106,113.9208142,22.48886396,66
107,113.9416084,22.52552622,112
108,114.1359551,22.56589269,96
109,114.1220749,22.54001974,109
110,114.1255679,22.55438475,89
111,114.118432,22.54773061,101
112,114.0689185,22.52920679,75
113,114.0919854,22.55519769,19
114,114.0905844,22.5473274,19
115,114.0603361,22.54361222,110
116,114.0535052,22.55851313,107
117,114.2442819,22.71789439,113
118,114.0549641,22.60228281,50
119,113.8690617,22.58029184,32
120,113.8936964,22.56553711,64
121,113.8366165,22.73814622,21
122,113.9105996,22.57432231,84
123,114.0304136,22.66651513,74
124,114.2415759,22.55767002,7
125,113.9330507,22.49263972,18
126,113.957699,22.54489143,9
127,113.9818888,22.54333824,99
128,113.9296257,22.52594615,111
129,113.9571946,22.55992571,51
130,113.947668,22.50509886,116
131,113.9258532,22.53714656,81
132,114.1199948,22.54546772,101
133,114.1309,22.54347137,109
134,114.1364454,22.55241074,91
135,114.0841345,22.54512982,102
136,114.0385406,22.53595239,80
137,114.0980015,22.54360268,118
138,114.0739007,22.55318047,54
139,114.0881037,22.55053025,19
140,114.0968193,22.54687677,118
141,114.1024868,22.54758699,53
142,114.0586944,22.54441486,110
143,114.1073505,22.56323418,42
144,114.1298222,22.60127081,16
145,114.235426,22.72791928,38
146,114.2126075,22.65270691,114
147,113.872169,22.58180641,32
148,113.8912257,22.56361538,64
149,113.9136609,22.56691063,36
150,114.0367278,22.66712542,98
151,114.2437329,22.55601733,7
152,113.9587907,22.54477371,9
153,113.9378892,22.52312466,25
154,113.9435947,22.5279827,85
155,113.9096037,22.52356999,1
156,113.970332,22.53867762,70
157,113.9883185,22.55652446,59
158,113.9375307,22.53751168,87
159,113.9745234,22.53704603,70
160,114.1264898,22.54887129,4
161,114.1118279,22.56299617,42
162,114.1242621,22.54214549,109
163,114.0308414,22.54109547,47
164,114.0763187,22.54510525,108
165,114.0257959,22.54320739,47
166,114.0621332,22.5445484,110
167,114.0635066,22.53999838,0
168,114.0513821,22.52274697,40
169,114.044568,22.55603812,83
170,114.1010143,22.56632048,42
171,114.0735543,22.56672067,73
172,114.0723165,22.52785975,75
173,114.0555928,22.55173057,52
174,114.10617,22.54610342,53
175,114.0251427,22.55417662,22
176,114.4267107,22.63499357,24
177,114.4821434,22.59896856,6
178,114.3449382,22.69110637,10
179,113.9117943,22.77995889,17
180,113.951738,22.768389,26
181,114.3167791,22.77612129,23
182,114.0751064,22.64205865,5
183,114.0695745,22.65668723,86
184,114.1242791,22.6073534,104
185,114.2496789,22.72603222,2
186,114.1362322,22.70014711,93
187,113.9462273,22.6849681,12
188,113.8516832,22.77174393,3
189,113.8320872,22.67762114,37
190,113.8079084,22.73541073,60
191,113.8870618,22.55540935,29
192,113.8691552,22.57895407,32
193,113.9055687,22.57909014,11
194,113.8365284,22.73626577,21
195,113.8669498,22.62110919,39
196,113.9006373,22.57240797,84
197,113.9125677,22.55745778,105
198,114.0263974,22.66283814,74
199,114.0561962,22.70778073,31
200,114.2612722,22.59585976,48
201,114.2380084,22.55538388,67
202,114.2445711,22.56484081,7
203,113.9369499,22.53905658,87
204,113.9512206,22.55183275,78
205,113.9385144,22.49199074,18
