332,88,938.9558938,13,3307,6166,2,5
333,63,2438.490324,17,2371,105530,2,5
334,58,2351.147551,31,5020,98243,2,5
335,106,2800.793361,44,5413,165644,8,5
336,63,218.5494583,2,154,1695,8,5
337,36,465.2934075,3,179,24836,8,5
338,16,2870.401432,50,6566,180255,8,5
339,26,1187.751341,22,1997,79485,8,5
340,61,488.4866818,6,1627,13506,8,5
341,40,1530.686632,36,4831,74376,8,5
342,30,2536.4626,55,9888,113640,7,5
343,50,3293.429518,74,12264,199812,7,5
344,75,725.3531958,7,24173,2578,7,5
345,92,1438.381363,31,6132,67994,7,5
346,68,431.0826065,3,569,6577,7,5
347,39,46.96972291,1,97,0,7,5
348,5,0,0,0,0,7,1
349,318,405.6048076,5,22699,2331,7,2
350,102,530.9750179,5,427,16799,8,2
351,158,634.778016,5,1830,2288,7,2
352,119,782.1381497,1,161,27588,8,2
354,150,2093.390962,22,4528,87433,7,2
355,21,2056.852729,35,6130,82926,7,5
357,188,1384.336893,8,1432,76142,7,6
358,72,640.4965857,2,100,9457,8,6
359,175,8779.449643,115,42390,476884,2,7
361,131,300.1409757,1,359,12876,7,2
362,397,691.9834709,11,2772,3012,2,2
