4,352772,18312036
3,8936,792758
8,6153,796873
4,65169,5030872
1,669204,40380504
7,20983,1829386
17,80443,9201462
3,835881,45639050
14,32785,3672075
9,43813,8077899
7,31274,6480825
9,50119,12416147
22,30127,2663541
8,240325,18048300
28,864219,41309412
11,625842,21070084
6,908426,32623671
32,145115,4383890
13,86178,5524221
19,49183,4667598
84,101353,1780250
8,113832,9872216
9,3743,830391
18,108354,9954150
12,202907,10854248
17,180328,14252652
3,240923,21697744
10,217926,7847802
74,79806,5870458
15,39477,1300873
4,37543,10565754
54,325297,21226038
11,548975,34200171
34,297742,20216140
27,0,414649
4,57899,5551271
13,44786,7034652
51,50568,10887482
23,132903,6891628
22,114821,6077634
25,342402,17296265
6,52866,8017961
7,139601,7456691
12,18869,4668079
23,87269,13063393
11,722,61677
283,39800,312668
313,1396,0
1069,54063,1073265
1128,8395,173853
1092,6070,0
580,207808,4183804
840,20457,2944000
205,0,0
782,654169,23224155
843,259744,11992138
880,90967,10679502
981,6720,268113
1193,13966,280145
55,4607,43000
1159,8899,769971
266,65730,4753742
608,225075,11423286
430,225075,11423286
1030,6440,567421
687,202052,8396731
213,218280,11385286
153,409963,20750058
2241,125437,1718573
793,12900,0
141,3112,90043
224,140873,4875325
197,601,112281
0,0,0
399,147558,8813689
110,136118,5611972
70,137048,6275412
314,8316,904333
271,324859,18364607
174,190229,8690854
143,197650,8588449
535,30898,1262894
288,89252,7529534
277,92330,2686648
0,0,0
114,208812,10935681
262,207807,11385645
271,194626,17755482
168,98877,1603126
318,95233,14126845
198,179019,15328099
150,149739,11341383
269,69616,3628128
400,366119,24549124
169,528,206249
139,194811,4900148
118,242106,9309528
266,14840,5936249
188,216011,7784761
378,107538,14373534
243,355769,24743982
132,106676,8734736
124,32915,3733752
225,145732,11147667
216,17652,1641451
139,18436,8336157
152,84247,10462018
89,16377,438621
172,106191,3748999
147,73175,7124331
230,125224,2762702
235,18869,4668079
140,10278,4190566
276,1289,0
934,380312,6443640
843,468745,13930780
0,0,0
1098,4364,103000
996,2139,0
367,151355,3213262
201,582462,15770773
150,263411,2333311
334,356660,12231540
417,518453,26126994
511,543608,14162283
202,454259,10421725
808,177032,5463122
585,27228,506091
324,231371,7043381
509,162635,6417070
286,416732,18313677
201,237629,12189701
241,166045,9835299
227,292385,11801591
930,23047,1090849
918,183836,8239812
1105,56602,1624568
986,94771,1852714
383,222840,11423286
205,20910,1019996
583,37400,646118
662,180152,10156343
1206,38443,55000
794,9359,0
317,61899,354949
240,101341,1641219
572,51834,1896997
497,204069,9351766
504,107446,5221693
562,138294,9325915
426,142076,8445222
351,254023,11883190
764,42479,3850777
444,207807,11539625
550,91176,7422590
307,378429,23052679
129,67260,12999799
290,78354,9421526
143,137096,10373170
160,93048,9544343
376,256383,9683175
289,137215,3290433
229,491008,21112015
400,33249,6646354
269,315338,24228328
175,24200,2132520
282,77449,2763405
179,127876,11201123
317,103516,11126197
128,79108,7827047
162,134139,4855698
294,26918,9824667
355,126135,5920331
318,99033,16587409
401,118957,9621496
151,43888,8755264
231,146606,6143146
482,39732,8581925
227,197684,18787440
613,2731,3083727
250,10710,4019114
216,91272,8733017
307,20509,4728548
280,39744,312668
212,622555,21785174
78,11639,117095
219,498424,23661016
209,3004,0
139,128385,1926424
149,290382,11579451
56,39398,128760
87,654169,23224155
115,8319,0
148,1354,177941
184,166223,9835299
276,23627,1112014
105,8040,567421
31,40207,3953715
672,18095,0
730,30409,4078821
20,82847,6900360
160,141935,9324834
88,124672,7070015
63,52423,1096972
58,116326,6547133
106,62616,2754706
63,103291,1321693
36,189231,3389961
16,261185,19513669
26,34732,7756380
61,996,154153
40,2351,941783
30,94559,6876905
50,165383,18117955
75,224199,13225269
92,162763,13735417
68,20708,4246697
39,77081,2696657
5,54734,10055135
318,13734,2500121
102,0,0
158,6730,3822140
119,108463,11013863
817,10501,693584
150,159568,12188797
21,204058,20328338
107,544041,11294914
188,121930,11113963
72,194828,10636846
175,259255,12441254
558,432507,11358788
131,0,269291
397,29143,6793089
1592,377253,16560170
2570,115069,5651786
1046,202107,11366378
